"html5_tags";"cms";"has_analytics";"has_js_jquery";"html5";"server";"id";"cluster"
0.0;"11";"0";"0";"0";"22";170.0;"cluster_5"
0.0;"11";"1";"0";"0";"1";171.0;"cluster_2"
0.001519756838905775;"6";"1";"1";"1";"3";172.0;"cluster_0"
0.010638297872340425;"6";"0";"0";"1";"3";173.0;"cluster_7"
0.0;"11";"0";"0";"0";"22";174.0;"cluster_5"
0.0;"11";"1";"0";"1";"1";175.0;"cluster_0"
0.004559270516717325;"11";"0";"0";"1";"6";176.0;"cluster_7"
0.0;"11";"1";"0";"0";"1";177.0;"cluster_2"
0.0790273556231003;"6";"0";"1";"1";"6";178.0;"cluster_7"
0.0;"11";"1";"1";"0";"17";179.0;"cluster_2"
0.0060790273556231;"11";"0";"0";"1";"21";180.0;"cluster_7"
0.0;"11";"0";"0";"0";"3";181.0;"cluster_5"
0.0;"11";"0";"0";"0";"1";182.0;"cluster_5"
0.0;"11";"0";"0";"0";"22";183.0;"cluster_5"
0.13069908814589665;"9";"1";"0";"1";"3";184.0;"cluster_0"
0.0;"11";"1";"0";"0";"1";185.0;"cluster_2"
0.0;"9";"0";"1";"1";"3";186.0;"cluster_7"
0.0;"6";"1";"0";"0";"3";187.0;"cluster_2"
0.0;"11";"1";"1";"0";"1";188.0;"cluster_2"
0.0;"11";"0";"1";"0";"3";189.0;"cluster_5"
0.0;"7";"1";"1";"0";"3";190.0;"cluster_2"
0.013677811550151976;"11";"0";"0";"1";"1";191.0;"cluster_7"
0.025835866261398176;"11";"1";"0";"1";"3";192.0;"cluster_0"
0.0;"11";"1";"1";"0";"1";193.0;"cluster_2"
0.0;"6";"1";"0";"0";"3";194.0;"cluster_2"
0.0;"6";"1";"0";"0";"3";195.0;"cluster_2"
0.0;"6";"1";"1";"0";"3";196.0;"cluster_2"
0.0;"3";"0";"0";"0";"6";197.0;"cluster_5"
0.0;"1";"1";"0";"1";"1";198.0;"cluster_0"
0.0;"11";"0";"0";"0";"1";199.0;"cluster_5"
0.0;"1";"1";"1";"1";"1";200.0;"cluster_0"
0.0;"6";"1";"0";"1";"12";201.0;"cluster_0"
0.23404255319148937;"11";"0";"0";"1";"22";202.0;"cluster_7"
0.0;"11";"1";"0";"0";"1";203.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";204.0;"cluster_5"
0.0;"11";"0";"0";"1";"1";205.0;"cluster_7"
0.0;"11";"1";"1";"0";"22";206.0;"cluster_2"
0.0;"11";"1";"1";"1";"22";207.0;"cluster_0"
0.0;"0";"1";"0";"0";"1";208.0;"cluster_2"
0.0;"11";"1";"0";"0";"3";209.0;"cluster_2"
0.12006079027355623;"11";"0";"0";"1";"1";210.0;"cluster_7"
0.0;"11";"1";"1";"0";"3";211.0;"cluster_2"
0.0;"11";"0";"0";"0";"22";212.0;"cluster_5"
0.0;"6";"1";"1";"1";"3";213.0;"cluster_0"
0.0;"3";"1";"1";"0";"1";214.0;"cluster_2"
0.0;"11";"0";"0";"0";"3";215.0;"cluster_5"
0.0364741641337386;"11";"0";"0";"1";"1";216.0;"cluster_7"
