@relation data-weka.filters.unsupervised.attribute.RemoveType-Tstring-weka.filters.unsupervised.attribute.RemoveUseless-M99.0-weka.filters.unsupervised.attribute.RemoveUseless-M95.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0

@attribute alexa_has_adult_content {0,1}
@attribute alexa_links_in numeric
@attribute alexa_load_time numeric
@attribute alexa_rank numeric
@attribute alexa_rank_dk numeric
@attribute external_links_count numeric
@attribute facebook_share {0,1}
@attribute has_analytics {0,1}
@attribute has_content_business {0,1}
@attribute has_content_film {0,1}
@attribute has_content_food {0,1}
@attribute has_content_games {0,1}
@attribute has_content_health {0,1}
@attribute has_content_music {0,1}
@attribute has_content_news {0,1}
@attribute has_content_shop {0,1}
@attribute has_content_sport {0,1}
@attribute has_content_technology {0,1}
@attribute has_content_transport {0,1}
@attribute has_content_xxx {0,1}
@attribute has_description {0,1}
@attribute has_js_backbone {0,1}
@attribute has_js_dojo {0,1}
@attribute has_js_jquery {0,1}
@attribute has_js_modernizr {0,1}
@attribute has_js_mootools {0,1}
@attribute has_js_prototype {0,1}
@attribute has_keywords {0,1}
@attribute html5 {0,1}
@attribute html5_tags numeric
@attribute img_count numeric
@attribute internal_links_count numeric
@attribute page_rank numeric
@attribute title_tag {0,1}
@attribute twitter_share {0,1}
@attribute xhtml {0,1}

@data
0,0.005156,0.062315,0.37812,0.645337,0.010493,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.014634,0.055064,0.375,1,0,0
0,0.007878,0.05079,0.066903,0.044024,0.069255,1,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0.021277,0.042276,0.000983,0.25,1,0,0
0,0.014395,0.05079,0.122634,0.153315,0.04617,0,1,1,1,0,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.03252,0.087512,0.75,1,0,0
0,0.001432,0.009434,0.315968,0.545005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0
0,0.00487,0.066038,0.291994,0.282911,0.045121,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0.003252,0.000983,0.5,0,0,0
0,0.000143,?,0.720755,0.284447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0
0,0.05622,0.036359,0.044045,?,0.019937,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.03252,0.013766,0.625,1,0,0
0,0.000215,?,0.639527,0.307824,0.003148,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0.015198,0.01626,0.024582,?,1,0,0
0,1,0.06308,0.015435,0.021329,0.023085,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.055285,0.042281,0.875,1,0,0
0,0.004798,0.046711,0.07402,0.07124,0.262329,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0.074468,0.108943,0.001967,0.25,1,0,0
0,0.005371,?,0.218079,?,0.126967,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,0.00304,0.058537,0.009833,0.375,1,0,0
0,0.003581,?,0.51203,0.523334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0
0,0.013393,0.131719,0.207382,0.390154,0.207765,1,1,1,1,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.245528,0.020649,0.625,1,0,0
1,0.007735,0.112341,0.390131,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0
0,0.001218,0.050382,0.224517,0.18309,0.01469,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.04878,0.135693,0.25,1,0,0
1,0.23462,0.272259,0.000678,0.000341,0.133263,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0.344715,0.659784,0.875,1,0,0
0,0.008451,0.05895,0.191877,?,0.195173,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.164228,0.000983,0.5,1,0,0
0,0.061735,0.06053,0.299367,0.201604,0.006296,1,1,0,0,0,0,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0.026016,0.072763,0.375,1,0,0
0,0.003581,0.035186,0.131969,?,0.312697,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,1,0.006079,0,0.001967,0.75,1,0,0
0,0.021557,0.10821,0.047713,0.03916,0.158447,0,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0.027642,0.001967,0.625,1,0,0
0,0.01017,0.050688,0.284282,0.26508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
0,0.003151,?,0.260546,?,0.078699,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0.043902,0,0.375,1,0,0
